Motivo,Fuente,Validación,Páginas
Bloqueada por robots.txt,Sitio web,No iniciada,1626
Página con redirección,Sitio web,No iniciada,225
No se ha encontrado (404),Sitio web,No iniciada,195
Página alternativa con etiqueta canónica adecuada,Sitio web,No iniciada,161
Error de servidor (5xx),Sitio web,No iniciada,32
Duplicada: el usuario no ha indicado ninguna versión canónica,Sitio web,No iniciada,11
"Excluida por una etiqueta ""noindex""",Sitio web,No iniciada,7
Soft 404,Sitio web,No iniciada,4
Descubierta: actualmente sin indexar,Sistemas de Google,No iniciada,1701
Rastreada: actualmente sin indexar,Sistemas de Google,No iniciada,1336